tier,eval_set,rule,threshold,coverage,risk
tier1,deployment175,confidence,0.751489,0.028571,0.0
tier1,deployment175,confidence,0.732241,0.034286,0.0
tier1,deployment175,confidence,0.719025,0.04,0.0
tier1,deployment175,confidence,0.710474,0.045714,0.0
tier1,deployment175,confidence,0.700228,0.051429,0.0
tier1,deployment175,confidence,0.695724,0.057143,0.0
tier1,deployment175,confidence,0.680107,0.062857,0.0
tier1,deployment175,confidence,0.670684,0.068571,0.0
tier1,deployment175,confidence,0.659977,0.074286,0.076923
tier1,deployment175,confidence,0.655904,0.08,0.071429
tier1,deployment175,confidence,0.6366,0.085714,0.066667
tier1,deployment175,confidence,0.6272,0.091429,0.0625
tier1,deployment175,confidence,0.622239,0.097143,0.058824
tier1,deployment175,confidence,0.620221,0.102857,0.055556
tier1,deployment175,confidence,0.617925,0.108571,0.052632
tier1,deployment175,confidence,0.614549,0.114286,0.05
tier1,deployment175,confidence,0.609065,0.12,0.047619
tier1,deployment175,confidence,0.595657,0.125714,0.045455
tier1,deployment175,confidence,0.58527,0.131429,0.086957
tier1,deployment175,confidence,0.579618,0.137143,0.083333
tier1,deployment175,confidence,0.564966,0.142857,0.12
tier1,deployment175,confidence,0.548263,0.148571,0.115385
tier1,deployment175,confidence,0.52967,0.154286,0.111111
tier1,deployment175,confidence,0.523738,0.16,0.107143
tier1,deployment175,confidence,0.518373,0.165714,0.137931
tier1,deployment175,confidence,0.513995,0.171429,0.166667
tier1,deployment175,confidence,0.510765,0.177143,0.16129
tier1,deployment175,confidence,0.50821,0.182857,0.15625
tier1,deployment175,confidence,0.502558,0.188571,0.181818
tier1,deployment175,confidence,0.49834,0.194286,0.176471
tier1,deployment175,confidence,0.488817,0.2,0.2
tier1,deployment175,confidence,0.483727,0.205714,0.194444
tier1,deployment175,confidence,0.482509,0.211429,0.189189
tier1,deployment175,confidence,0.475852,0.217143,0.210526
tier1,deployment175,confidence,0.473684,0.222857,0.205128
tier1,deployment175,confidence,0.47152,0.228571,0.225
tier1,deployment175,confidence,0.470441,0.234286,0.219512
tier1,deployment175,confidence,0.455358,0.24,0.214286
tier1,deployment175,confidence,0.454031,0.245714,0.209302
tier1,deployment175,confidence,0.452935,0.251429,0.204545
tier1,deployment175,confidence,0.438479,0.257143,0.2
tier1,deployment175,confidence,0.43241,0.262857,0.195652
tier1,deployment175,confidence,0.432255,0.268571,0.212766
tier1,deployment175,confidence,0.430708,0.274286,0.208333
tier1,deployment175,confidence,0.428993,0.28,0.22449
tier1,deployment175,confidence,0.427455,0.285714,0.22
tier1,deployment175,confidence,0.425587,0.291429,0.235294
tier1,deployment175,confidence,0.421802,0.297143,0.230769
tier1,deployment175,confidence,0.421378,0.302857,0.245283
tier1,deployment175,confidence,0.415349,0.308571,0.240741
tier1,deployment175,confidence,0.411763,0.314286,0.254545
tier1,deployment175,confidence,0.409052,0.32,0.267857
tier1,deployment175,confidence,0.400259,0.325714,0.263158
tier1,deployment175,confidence,0.398567,0.331429,0.275862
tier1,deployment175,confidence,0.389156,0.337143,0.271186
tier1,deployment175,confidence,0.379399,0.342857,0.266667
tier1,deployment175,confidence,0.379343,0.348571,0.278689
tier1,deployment175,confidence,0.373406,0.354286,0.274194
tier1,deployment175,confidence,0.373036,0.36,0.269841
tier1,deployment175,confidence,0.369298,0.365714,0.265625
tier1,deployment175,confidence,0.368332,0.371429,0.261538
tier1,deployment175,confidence,0.365776,0.377143,0.257576
tier1,deployment175,confidence,0.363726,0.382857,0.253731
tier1,deployment175,confidence,0.359023,0.388571,0.25
tier1,deployment175,confidence,0.355995,0.394286,0.26087
tier1,deployment175,confidence,0.355895,0.4,0.257143
tier1,deployment175,confidence,0.353409,0.405714,0.267606
tier1,deployment175,confidence,0.352982,0.411429,0.277778
tier1,deployment175,confidence,0.351365,0.417143,0.273973
tier1,deployment175,confidence,0.350071,0.422857,0.27027
tier1,deployment175,confidence,0.349492,0.428571,0.28
tier1,deployment175,confidence,0.349129,0.434286,0.276316
tier1,deployment175,confidence,0.348281,0.44,0.272727
tier1,deployment175,confidence,0.348231,0.445714,0.269231
tier1,deployment175,confidence,0.347391,0.451429,0.265823
tier1,deployment175,confidence,0.345906,0.457143,0.275
tier1,deployment175,confidence,0.345606,0.462857,0.271605
tier1,deployment175,confidence,0.345469,0.468571,0.280488
tier1,deployment175,confidence,0.345347,0.474286,0.289157
tier1,deployment175,confidence,0.339003,0.48,0.285714
tier1,deployment175,confidence,0.33416,0.485714,0.294118
tier1,deployment175,confidence,0.333168,0.491429,0.302326
tier1,deployment175,confidence,0.333127,0.497143,0.310345
tier1,deployment175,confidence,0.332767,0.502857,0.318182
tier1,deployment175,confidence,0.330996,0.508571,0.325843
tier1,deployment175,confidence,0.330323,0.514286,0.322222
tier1,deployment175,confidence,0.328541,0.52,0.32967
tier1,deployment175,confidence,0.326467,0.525714,0.326087
tier1,deployment175,confidence,0.32469,0.531429,0.322581
tier1,deployment175,confidence,0.323969,0.537143,0.319149
tier1,deployment175,confidence,0.32329,0.542857,0.315789
tier1,deployment175,confidence,0.322571,0.548571,0.3125
tier1,deployment175,confidence,0.321137,0.554286,0.309278
tier1,deployment175,confidence,0.320643,0.56,0.316327
tier1,deployment175,confidence,0.320426,0.565714,0.323232
tier1,deployment175,confidence,0.319063,0.571429,0.33
tier1,deployment175,confidence,0.316677,0.577143,0.326733
tier1,deployment175,confidence,0.316658,0.582857,0.333333
tier1,deployment175,confidence,0.313092,0.588571,0.339806
tier1,deployment175,confidence,0.312315,0.594286,0.346154
tier1,deployment175,confidence,0.309945,0.6,0.342857
tier1,deployment175,confidence,0.3093,0.605714,0.349057
tier1,deployment175,confidence,0.307697,0.611429,0.345794
tier1,deployment175,confidence,0.302758,0.617143,0.351852
